Iteration	Replicate_ID	Posterior	Likelihood	Prior	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation[5]	speciation[6]	speciation[7]	speciation[8]	speciation[9]	speciation[10]
65	1	-176.8609	-117.6952	-59.16569	1	0.604498	1.04882	1.14747	0.671543	0.672557	0.554468	0.562479	0.296214	0.241144
66	0	-119.0946	-111.8956	-7.199083	1	0.0424559	0.181633	1.91077	1.37526	0.629694	1.25982	1.14926	0.751686	1.18279
67	1	-157.7154	-119.5622	-38.15319	1	0.963392	0.911567	0.908784	0.909951	0.672213	0.294861	0.297108	0.269751	0.277574
68	0	-147.6286	-111.1148	-36.51377	1	0.03548	0.172532	2.26353	1.47605	0.594402	1.12844	1.21468	0.792145	1.39516
69	1	-180.0169	-116.6034	-63.41348	1	0.390951	0.311031	0.310758	0.299321	0.300176	0.295104	0.311938	0.33881	0.339077
70	0	-139.184	-112.4627	-26.72131	1	0.0256246	0.161249	2.13137	1.41688	0.44374	1.23147	1.19175	0.759119	1.76528
71	1	-176.198	-118.6303	-57.56776	1	0.132601	0.139725	0.13735	0.1374	0.14958	0.123064	0.124752	0.121168	0.12707
72	0	-124.0946	-111.6926	-12.40195	1	0.0946439	0.209889	1.83583	1.20215	0.561842	1.15097	1.48138	0.94116	1.95184
73	1	-171.0077	-114.8603	-56.14739	1	0.2035	0.156522	0.23758	0.240704	0.225711	0.220402	0.232633	0.252914	0.258671
74	0	-172.5521	-114.6339	-57.91816	1	0.0866511	0.203631	1.8372	1.02084	0.519145	0.79934	1.03632	0.631977	1.00724
75	1	-184.1082	-113.1784	-70.92977	1	0.124436	0.170862	0.216527	0.218252	0.0759403	0.257985	0.292206	0.207596	0.208787
76	0	-157.8773	-116.1455	-41.73174	1	0.0792761	0.728462	1.90423	0.710251	0.360685	0.506445	0.647314	1.69301	1.13561
77	1	-153.78	-114.1099	-39.67014	1	0.131526	0.127277	0.191275	0.153154	0.141068	0.134335	0.474341	0.401359	0.380791
78	0	-158.2097	-111.2826	-46.92712	1	0.0114828	0.0363176	1.68792	1.03584	0.402203	0.552558	1.04317	0.701317	0.948599
79	1	-171.5775	-114.8567	-56.72074	1	0.202931	0.222428	0.24263	0.239681	0.24496	0.330456	0.373365	0.396066	0.441412
80	0	-173.4796	-109.2137	-64.26586	1	0.0151689	0.0395951	1.18097	1.05646	0.417545	1.09293	1.05392	0.568653	0.663925
81	1	-175.8309	-113.8795	-61.95141	1	0.167006	0.174865	0.314683	0.321469	0.320446	0.266179	0.307323	0.286041	0.28802
82	0	-159.0734	-109.0699	-50.00355	1	0.00412459	0.00543069	1.13621	0.931274	0.244478	0.93468	0.862225	0.426343	0.706
83	1	-147.9289	-114.7793	-33.14962	1	0.23487	0.228151	0.282521	0.284705	0.281092	0.229525	0.225554	0.204801	0.201751
84	0	-169.2867	-109.7581	-59.52855	1	0.00240517	0.00310097	1.5307	0.751974	0.247437	0.978988	0.920159	0.500386	0.739014
85	1	-136.3146	-119.4548	-16.85977	1	0.246232	0.249747	0.242903	0.248634	0.246725	0.2323	0.231798	0.25059	0.250652
86	0	-158.3818	-113.7491	-44.63273	1	0.108583	0.0712753	1.74452	0.638815	0.3298	1.29347	1.53848	0.578199	0.64383
87	1	-131.5587	-117.7916	-13.76708	1	0.423317	0.428743	0.46256	0.466745	0.463031	0.46534	0.461136	0.469017	0.468125
88	0	-110.2614	-111.8184	1.557016	1	0.166993	0.12567	2.28998	0.8701	0.348467	1.56137	1.80114	0.81834	0.755245
89	1	-160.6097	-118.1468	-42.46294	1	0.251395	0.239078	0.226415	0.227221	0.229206	0.219782	0.21912	0.219895	0.195748
90	0	-132.0446	-110.5928	-21.45175	1	0.0564165	0.123276	2.30647	1.53614	0.699976	1.59803	1.55888	1.00124	0.994809
91	1	-138.4752	-114.4729	-24.00235	1	0.278771	0.283285	0.275758	0.281195	0.298201	0.297949	0.298702	0.279433	0.256801
92	0	-150.1947	-112.2001	-37.99464	1	0.0865817	0.214949	1.51686	1.17113	0.475722	1.06246	1.04105	0.902618	0.876023
93	1	-155.8507	-114.93	-40.92071	1	0.411024	0.331203	0.455823	0.411669	0.331647	0.330637	0.432963	0.419707	0.396645
94	0	-131.4125	-114.0806	-17.33193	1	0.360579	0.596882	1.57605	1.63629	0.575501	1.54323	2.07176	1.03342	0.798073
95	1	-162.3053	-117.017	-45.28823	1	0.436687	0.277531	0.325652	0.272694	0.271066	0.16023	0.148864	0.193151	0.569107
96	0	-151.9751	-113.3133	-38.66176	1	0.310948	0.393342	1.18065	1.35775	0.343569	0.972228	1.73146	1.22232	0.877643
97	1	-186.0735	-118.6227	-67.45086	1	0.528558	0.526525	0.248987	0.331551	0.297244	0.268393	0.271904	0.270196	0.770011
98	0	-155.6518	-114.28	-41.37177	1	0.288602	0.297001	1.15658	1.621	0.539116	1.39738	1.85019	1.4008	1.2923
99	1	-166.2398	-114.7912	-51.44856	1	0.336743	0.346479	0.305199	0.329158	0.298322	0.415519	0.332751	0.364034	0.3646
100	0	-180.064	-115.1835	-64.8805	1	0.199739	1.13955	1.12212	0.360032	0.552373	0.781328	0.814644	0.776422	0.402362
101	1	-185.493	-116.8779	-68.6151	1	0.287248	0.245189	0.242052	0.197716	0.198639	0.191938	0.251809	0.27492	0.0800847
102	0	-172.7368	-113.314	-59.42282	1	0.0982149	0.0930305	0.630137	0.728171	0.342246	0.329416	0.760069	0.146845	0.140379
103	1	-172.0824	-117.3861	-54.69625	1	0.0922516	0.0896291	0.0896137	0.179671	0.186225	0.219218	0.235509	0.160167	0.224764
104	0	-154.5576	-111.6931	-42.86448	1	0.22773	0.142501	0.463315	0.499293	0.23772	0.23324	0.37383	0.242519	0.213333
105	1	-148.9805	-115.9953	-32.98529	1	0.439837	0.439835	0.44069	0.439622	0.41174	0.413707	0.510522	0.638612	0.640185
106	0	-152.3894	-119.0937	-33.29571	1	0.310441	0.31583	0.323367	0.274439	0.274179	0.27173	0.387323	0.370896	0.397489
107	1	-156.9546	-116.8196	-40.1349	1	0.848311	0.75363	0.525959	0.558912	0.550872	0.620244	0.617544	0.507247	0.525975
108	0	-168.5129	-117.4384	-51.07451	1	0.543704	0.540213	0.536197	0.558417	0.236825	0.300568	0.265343	0.28007	0.285969
109	1	-150.8441	-113.9002	-36.94389	1	0.355469	0.38424	0.469874	0.468667	0.443974	0.432511	0.410643	0.407471	0.386942
110	0	-151.4924	-117.91	-33.58243	1	0.377008	0.3766	0.396071	0.45218	0.433541	0.479138	0.566754	0.549873	0.565152
