Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction[5]	extinction[6]	extinction[7]	extinction[8]	extinction[9]	extinction[10]
72	0	-124.0946	-111.6926	-12.40195	0.898115	0.898191	0.900444	0.900342	0.899626	0.894426	0.894011	0.945985	0.945149	0.945341
73	1	-171.0077	-114.8603	-56.14739	0.914151	0.341451	0.0372592	0.0165697	0.0143562	0.012773	0.0127814	0.0060113	0.00993531	0.0143481
74	0	-172.5521	-114.6339	-57.91816	0.775115	0.592626	0.757671	0.829024	0.8308	0.595107	0.580204	0.455482	0.45738	0.464198
75	1	-184.1082	-113.1784	-70.92977	0.977648	1.11705e-05	2.76204e-07	3.15258e-07	2.71345e-07	3.78574e-06	2.08864e-06	8.65119e-08	5.93183e-08	1.44583e-08
76	0	-157.8773	-116.1455	-41.73174	0.987229	1.0183	1.016	1.03069	0.511255	0.507092	0.506606	0.503871	0.517841	0.507398
77	1	-153.78	-114.1099	-39.67014	0.996241	0.000120522	0.000120523	0.000104797	8.80976e-05	8.8985e-05	0.000106553	0.000112473	0.00011526	0.000108934
78	0	-158.2097	-111.2826	-46.92712	0.941682	0.929232	0.556621	0.541961	0.538628	0.633145	0.641099	0.646018	0.652951	0.66563
79	1	-171.5775	-114.8567	-56.72074	0.926163	0.52175	0.064688	0.0537951	0.0567401	0.0530612	0.0556641	0.067834	0.0593868	0.000184519
80	0	-173.4796	-109.2137	-64.26586	0.893931	0.548632	0.563286	0.560158	0.656875	0.63933	0.908909	0.295622	0.496656	0.509238
81	1	-175.8309	-113.8795	-61.95141	0.962548	0.231761	0.196684	0.116868	0.0551935	0.0486769	0.010777	0.0104483	0.00201677	0.00285965
82	0	-159.0734	-109.0699	-50.00355	0.980573	0.513834	0.526486	0.532433	0.554931	0.506086	0.467807	0.489662	0.490996	0.493868
83	1	-147.9289	-114.7793	-33.14962	0.985046	0.935779	0.000191489	0.000150504	0.000151196	0.000165464	0.000139998	0.000110133	0.000108111	6.93388e-05
84	0	-169.2867	-109.7581	-59.52855	0.979925	0.598885	0.412935	0.446568	0.485737	0.627202	0.467727	0.433706	0.480985	0.895914
85	1	-136.3146	-119.4548	-16.85977	0.657889	0.717303	0.0209424	0.0156772	0.0158027	0.0152196	0.007367	0.00744225	0.00616603	0.00623701
86	0	-158.3818	-113.7491	-44.63273	0.844881	0.838098	0.831556	0.772015	0.756193	0.755014	0.75773	0.787051	0.709466	0.718686
87	1	-131.5587	-117.7916	-13.76708	0.983286	0.93526	0.902911	0.106218	0.0771205	0.0858965	0.0847149	0.084657	0.0763548	0.0468329
88	0	-110.2614	-111.8184	1.557016	0.965023	0.965193	0.964628	0.963905	0.963854	0.963843	0.963751	0.963483	0.961611	0.960895
89	1	-160.6097	-118.1468	-42.46294	0.754737	0.786296	3.41435e-05	3.02697e-05	3.25025e-05	4.21436e-05	4.28416e-05	3.52137e-05	0.00314237	0.00290843
90	0	-132.0446	-110.5928	-21.45175	0.94951	0.947712	0.977316	1.04909	1.07596	1.07666	1.07458	1.09051	1.07283	1.07256
91	1	-138.4752	-114.4729	-24.00235	0.977877	0.966947	0.0076123	0.0119139	0.0119297	0.0154085	0.0146888	0.0132752	0.0158559	0.0243705
92	0	-150.1947	-112.2001	-37.99464	0.809711	0.801431	0.805055	0.734455	0.751789	0.616566	0.616237	0.632097	0.651125	0.640975
93	1	-155.8507	-114.93	-40.92071	0.971186	0.974005	0.214056	0.159601	0.159672	0.159115	0.17441	0.172234	0.184245	0.183617
94	0	-131.4125	-114.0806	-17.33193	0.980803	0.985755	0.985219	1.00561	1.00823	1.01734	1.01512	0.980903	0.977686	0.974413
95	1	-162.3053	-117.017	-45.28823	0.998381	0.986231	0.00139079	0.00133437	0.00140779	0.00140004	0.00117967	0.0012069	0.00118428	0.00119826
96	0	-151.9751	-113.3133	-38.66176	0.968531	0.956722	0.806495	0.814646	0.839106	0.862686	0.862128	0.783298	0.786738	0.771242
97	1	-186.0735	-118.6227	-67.45086	0.975604	0.98809	0.0433919	0.0307931	0.100521	0.0241644	0.0230379	0.0336336	0.0011054	0.0738444
98	0	-155.6518	-114.28	-41.37177	0.956797	1.001	0.873979	0.842788	0.843127	0.847666	0.882815	0.944381	0.956795	0.929565
99	1	-166.2398	-114.7912	-51.44856	0.967601	1.08237	6.12483e-06	2.19778e-06	2.36327e-06	2.38814e-06	3.33601e-06	2.95486e-06	3.5325e-06	5.25614e-07
100	0	-180.064	-115.1835	-64.8805	0.940804	1.12756	0.911522	0.716303	0.233607	0.577616	0.618875	0.325621	0.360099	0.434888
101	1	-185.493	-116.8779	-68.6151	0.886725	0.654592	1.07405e-10	1.10699e-10	3.02106e-10	3.18781e-10	2.96402e-16	2.79011e-16	5.61042e-16	7.9139e-16
102	0	-172.7368	-113.314	-59.42282	0.807275	0.525504	0.241222	0.272143	0.374336	0.0551036	0.0726524	0.0886725	0.0725266	0.0602492
103	1	-172.0824	-117.3861	-54.69625	0.728547	0.000274348	0.000254702	0.000275281	0.000399232	0.000316107	0.000439684	0.000558819	0.000320462	7.59236e-05
104	0	-154.5576	-111.6931	-42.86448	0.970807	0.832397	0.00637712	0.0065294	0.00761404	0.00297299	0.0029694	0.00343795	0.00343649	0.00332285
105	1	-148.9805	-115.9953	-32.98529	0.983731	0.981071	0.200709	0.10062	0.109823	0.00449781	0.468658	0.307052	0.317348	0.294104
106	0	-152.3894	-119.0937	-33.29571	0.977867	0.701765	0.734462	0.0213625	0.0193376	0.0186707	0.0179662	0.0180504	0.0150943	0.0146032
107	1	-156.9546	-116.8196	-40.1349	0.946509	2.00037	0.179818	0.202014	0.228249	0.218619	0.259899	0.352932	0.353864	0.346755
108	0	-168.5129	-117.4384	-51.07451	0.906046	1.11132	0.921191	5.93552e-15	5.38383e-15	5.47623e-15	4.97247e-15	4.64329e-15	3.11473e-15	4.34189e-15
109	1	-150.8441	-113.9002	-36.94389	0.978783	1.39103	0.0896072	0.0860678	0.10684	0.0999756	0.100378	0.096977	0.0556325	0.0522266
110	0	-151.4924	-117.91	-33.58243	0.915995	0.90871	0.259979	0.185672	0.192674	0.349714	0.477949	0.522499	0.418323	0.461063
111	1	-166.5517	-116.7969	-49.75479	0.830632	0.754742	0.0014403	0.00154013	0.00150075	0.00149323	0.0015674	0.00162208	0.00150367	0.00148682
112	0	-135.3681	-118.0784	-17.28973	0.994343	0.949802	0.37944	0.378537	0.348662	0.383247	0.383983	0.384353	0.379521	0.20807
113	1	-174.6577	-114.4115	-60.24623	0.916104	0.906028	0.30014	0.0058965	7.18041e-16	1.22229e-15	1.20429e-15	1.02873e-15	1.08015e-15	1.06205e-15
114	0	-144.4637	-117.9215	-26.54222	0.945591	0.851238	0.31143	0.342084	0.246668	0.252315	0.238541	0.23136	0.23163	0.233898
115	1	-164.0754	-117.5965	-46.47886	0.860967	1.0655	1.10381	0.383766	0.345189	0.474166	0.410638	0.526999	0.525883	0.596003
116	0	-129.4481	-115.3014	-14.14671	0.968762	0.939923	0.20191	0.190553	0.196802	0.243737	0.243391	0.245092	0.244951	0.258128
117	1	-161.3466	-116.6749	-44.67167	0.989049	1.03602	1.04288	1.04086	0.817775	0.818174	0.935695	0.789873	2.43062	2.39122
118	0	-138.2614	-120.6603	-17.60115	0.999973	0.950732	0.887183	0.0938635	0.0938634	0.0901251	0.0891089	0.0897908	0.0898339	0.088708
119	1	-149.5024	-118.2799	-31.22253	0.936162	0.965378	0.913783	0.909611	0.916037	0.922241	0.918827	0.917059	0.815223	0.804468
120	0	-126.1699	-115.8557	-10.31415	0.92431	0.93202	0.159864	0.161633	0.161403	0.165196	0.162639	0.159279	0.149634	0.149648
121	1	-163.7512	-112.3492	-51.40198	0.874442	0.861448	0.861494	0.528232	0.266918	0.276392	0.264361	0.2256	0.659557	0.790616
122	0	-155.8892	-114.3455	-41.54373	0.952536	0.926394	0.00607133	0.00599183	0.0055913	0.00597376	0.00441131	0.00407793	0.00587318	0.0051197
123	1	-185.0231	-117.0915	-67.93163	0.837132	0.932421	0.916752	0.639304	0.22136	7.88167e-06	9.49907e-06	9.16448e-06	8.51343e-06	7.93153e-06
124	0	-141.8987	-114.917	-26.98169	0.935413	0.9045	0.0486515	0.049672	0.0493929	0.0473979	0.0481146	0.0478308	0.0614823	0.0502499
125	1	-144.0118	-115.7133	-28.29843	0.998996	0.965535	0.323291	0.185662	0.127369	0.130551	0.12831	0.112089	0.11368	0.0953864
126	0	-161.7929	-117.501	-44.29186	0.975156	1.04589	0.485636	0.446303	0.255381	0.255198	0.258802	0.311757	0.332662	0.504105
127	1	-183.779	-115.3407	-68.43835	0.941434	0.458551	1.72364e-08	1.7688e-08	5.92049e-08	5.52534e-08	5.79639e-08	5.82358e-08	5.35582e-08	5.35532e-08
128	0	-164.344	-117.386	-46.95796	0.936919	1.00033	0.539356	0.464717	0.467496	0.535031	0.43952	0.443625	0.278793	0.244497
129	1	-152.0016	-115.8333	-36.16833	0.781452	0.12407	0.122392	0.12205	0.122003	0.122016	0.11974	0.119957	0.121513	0.121292
