Iteration	Replicate_ID	Posterior	Likelihood	Prior	mass_extinction_probabilities[1]	mass_extinction_probabilities[2]	mass_extinction_probabilities[3]	mass_extinction_probabilities[4]	mass_extinction_probabilities[5]	mass_extinction_probabilities[6]	mass_extinction_probabilities[7]	mass_extinction_probabilities[8]	mass_extinction_probabilities[9]
195	1	-112.6617	-102.3458	-10.31592	0	0	0	0	0.792004	0	0	0	0
196	0	-101.3048	-100.1884	-1.116447	0	0	0	0	0	0	0	0	0
197	1	-141.3292	-99.66883	-41.66036	0	0	0	0	0	0	0	0	0
198	0	-74.88392	-103.5327	28.64876	0	0	0	0	0	0	0	0	0
199	1	-99.07007	-100.702	1.631939	0	0	0	0	0	0	0	0	0
200	0	-114.0213	-101.1786	-12.84275	0	0	0	0	0	0	0	0	0
201	1	-89.68645	-104.8487	15.16229	0	0	0	0	0	0	0	0	0
202	0	-141.9382	-101.3989	-40.53928	0	0	0	0	0	0	0	0	0
203	1	-106.8676	-102.4559	-4.411679	0	0	0	0	0	0	0	0	0
204	0	-130.5974	-102.6497	-27.94767	0	0	0	0	0	0	0	0	0
205	1	-96.0654	-99.49418	3.42878	0	0	0	0	0	0	0	0	0
206	0	-129.5035	-103.2551	-26.2484	0	0	0	0	0	0	0	0	0
207	1	-83.66594	-100.8794	17.21342	0	0	0	0	0	0	0	0	0
208	0	-73.40933	-98.65118	25.24185	0	0	0	0	0	0	0	0	0
209	1	-110.0532	-104.8696	-5.183607	0	0	0	0	0	0	0	0	0
210	0	-91.25097	-101.0813	9.830297	0	0	0	0	0	0	0	0	0
211	1	-114.5941	-100.9163	-13.67774	0	0	0	0	0	0	0	0	0
212	0	-78.48652	-103.3307	24.84417	0	0	0	0	0	0	0	0	0
213	1	-81.09487	-104.7782	23.68333	0	0	0	0	0	0	0	0	0
214	0	-58.99586	-99.51054	40.51467	0	0	0	0	0	0	0	0	0
215	1	-115.4396	-102.0733	-13.36623	0	0	0	0	0	0	0	0	0
216	0	-71.94812	-101.4868	29.53868	0	0	0	0	0	0	0	0	0
217	1	-103.7649	-100.8515	-2.913342	0	0	0	0	0	0	0	0	0
