Iteration	Replicate_ID	Posterior	Likelihood	Prior	extinction_rate	fossilization_rate	speciation_rate
119	1	-102.4836	-107.3247	4.841168	0.009201931	0.009977181	0.1000354
120	0	-100.53	-105.4206	4.89057	0.02058457	0.0007761729	0.09276633
121	1	-101.0751	-105.9252	4.850085	0.004880335	0.005692769	0.100416
122	0	-100.2498	-105.2543	5.004497	0.007667549	0.002616986	0.08481622
123	1	-103.1729	-107.5642	4.391311	0.004905284	0.000864019	0.1479
124	0	-103.7114	-108.0748	4.363408	0.01936215	0.003347767	0.147088
125	1	-102.7933	-107.2313	4.438014	0.04168963	0.002826364	0.1263302
126	0	-100.3564	-105.3888	5.032439	0.01596634	0.0001563394	0.08007139
127	1	-100.5143	-105.3986	4.884306	0.01657378	0.001710006	0.09481386
128	0	-100.4454	-105.3201	4.874705	0.006433062	0.00339473	0.0979872
129	1	-100.5924	-105.4668	4.874449	0.01267249	0.00278401	0.09686994
130	0	-101.6634	-106.3901	4.726768	0.003042868	0.006031166	0.112886
131	1	-105.096	-109.8483	4.752206	0.02271083	0.01598697	0.103213
132	0	-101.4409	-106.4084	4.967434	0.02275997	0.002504064	0.08405331
133	1	-100.7685	-105.8144	5.04592	0.01287653	0.002462123	0.07952207
134	0	-103.0523	-108.0635	5.011147	0.02916005	0.004233312	0.07626525
135	1	-103.9995	-108.5519	4.552336	0.0414989	0.007635342	0.1143256
136	0	-101.7233	-106.4832	4.759915	0.007058864	0.006483745	0.1090897
137	1	-102.7714	-107.2878	4.516332	0.04035743	0.003601479	0.1192367
138	0	-101.056	-105.7476	4.691644	0.01557394	0.002177216	0.1144225
139	1	-99.86944	-104.8732	5.003743	0.003970045	0.002184296	0.08534799
140	0	-101.8395	-106.4018	4.562248	0.02585293	0.002192794	0.1234233
141	1	-100.4695	-105.2471	4.777573	0.009632396	0.001951847	0.1072731
142	0	-101.9957	-107.1374	5.141741	0.004911129	0.007713312	0.07044111
143	1	-100.1577	-105.1027	4.944968	0.00622645	0.002749059	0.09101376
