Iteration	Posterior	Likelihood	Prior	extinction[1]	extinction[2]	extinction[3]	extinction[4]	extinction_hidden[1]	extinction_hidden[2]	extinction_hidden_sd	extinction_hidden_unormalized[1]	extinction_hidden_unormalized[2]	extinction_observed[1]	extinction_observed[2]	hidden_rate	R[1]	R[2]	rate_category_prior[1]	rate_category_prior[2]	rate_category_prior[3]	rate_category_prior[4]	speciation[1]	speciation[2]	speciation[3]	speciation[4]	speciation_hidden[1]	speciation_hidden[2]	speciation_hidden_sd	speciation_hidden_unormalized[1]	speciation_hidden_unormalized[2]	speciation_observed[1]	speciation_observed[2]	transition_rates[1]	transition_rates[2]
25	-16881.38	-16888.72	7.331831	0.307945	0.401139	0.481008	0.626577	0.780642	1.21936	0.3305929	0.80013	1.2498	0.394477	0.513858	0.005640131	0.00564013	0.00564013	0.205035	0.262837	0.479312	0.0528163	0.393732	0.689857	0.809151	1.41771	0.654647	1.34535	0.5339709	0.697566	1.43356	0.601441	1.05379	0.000333554	0.000194919
26	-16880.1	-16887.77	7.671537	0.307945	0.401139	0.481008	0.626577	0.780642	1.21936	0.3305929	0.80013	1.2498	0.394477	0.513858	0.005013235	0.00501323	0.00501323	0.469873	0.241327	0.159632	0.129168	0.393161	0.688858	0.809721	1.41871	0.653699	1.3463	0.5355678	0.696815	1.4351	0.601441	1.05379	0.000309633	0.000198658
27	-16877.97	-16885.9	7.926195	0.310638	0.404647	0.478315	0.623068	0.787469	1.21253	0.3199755	0.80588	1.24088	0.394477	0.513858	0.004345834	0.00434583	0.00434583	0.784801	0.0505256	0.0910217	0.0736513	0.393161	0.688858	0.809721	1.41871	0.653699	1.3463	0.5355678	0.696815	1.4351	0.601441	1.05379	0.000557548	0.000171075
28	-16880.64	-16887.66	7.01231	0.310638	0.404647	0.478315	0.623068	0.787469	1.21253	0.3199755	0.80588	1.24088	0.394477	0.513858	0.005829345	0.00582934	0.00582934	0.459101	0.176757	0.318426	0.0457159	0.393161	0.72413	0.809721	1.49136	0.653699	1.3463	0.5355678	0.696815	1.4351	0.601441	1.10774	0.000640442	0.00023727
29	-16877.6	-16885.63	8.032568	0.331394	0.431684	0.45756	0.596031	0.840085	1.15991	0.2391429	0.851037	1.17504	0.394477	0.513858	0.004357298	0.0043573	0.0043573	0.365779	0.344098	0.253699	0.0364232	0.393161	0.72413	0.809721	1.49136	0.653699	1.3463	0.5355678	0.696815	1.4351	0.601441	1.10774	0.000490494	0.000191329
30	-16876.02	-16884.34	8.31824	0.348597	0.431684	0.481312	0.596031	0.840085	1.15991	0.2391429	0.851037	1.17504	0.414954	0.513858	0.003712933	0.00371293	0.00371293	0.392821	0.374718	0.203276	0.029184	0.393161	0.72413	0.809721	1.49136	0.653699	1.3463	0.5355678	0.696815	1.4351	0.601441	1.10774	0.000494679	0.000196042
31	-16879.54	-16887.96	8.421052	0.30751	0.380804	0.522399	0.646912	0.741069	1.25893	0.3928343	0.767235	1.30338	0.414954	0.513858	0.002922965	0.00292296	0.00292296	0.287924	0.575484	0.091772	0.0448202	0.383587	0.706496	0.819296	1.50899	0.637779	1.36222	0.5625585	0.684245	1.46147	0.601441	1.10774	0.000515426	0.000189721
32	-16878.85	-16887.41	8.560451	0.304252	0.404687	0.525657	0.699177	0.733218	1.26678	0.4053372	0.760792	1.31442	0.414954	0.551932	0.002408227	0.00240823	0.00240823	0.299619	0.598861	0.0548796	0.0466408	0.385721	0.710426	0.817162	1.50506	0.641327	1.35867	0.5565124	0.687041	1.45552	0.601441	1.10774	0.000555312	0.000245309
33	-16878.74	-16887.41	8.669047	0.334219	0.444546	0.49569	0.659318	0.805436	1.19456	0.2921863	0.821128	1.21784	0.414954	0.551932	0.002346387	0.00234639	0.00234639	0.0995971	0.769889	0.0705526	0.0599609	0.385721	0.710426	0.817162	1.50506	0.641327	1.35867	0.5565124	0.687041	1.45552	0.601441	1.10774	0.000891217	0.000130039
34	-16877.26	-16885.64	8.379924	0.334246	0.438658	0.506871	0.665206	0.794767	1.20523	0.3086617	0.812053	1.23145	0.420558	0.551932	0.002730405	0.0027304	0.0027304	0.327591	0.574943	0.0526877	0.044778	0.385721	0.710426	0.817162	1.50506	0.641327	1.35867	0.5565124	0.687041	1.45552	0.601441	1.10774	0.000924177	0.000181065
