Iteration	Posterior	Likelihood	Prior	birth_rate
2550	-108.5488	-103.9436	-4.60517	0.08688892
2560	-110.5383	-105.9331	-4.60517	0.05631249
2570	-108.8543	-104.2491	-4.60517	0.1048633
2580	-108.6414	-104.0363	-4.60517	0.09781995
2590	-108.6872	-104.082	-4.60517	0.0996892
2600	-108.7592	-104.154	-4.60517	0.1021409
2610	-110.3761	-105.7709	-4.60517	0.05748388
2620	-109.3783	-104.7731	-4.60517	0.06678665
2630	-108.5528	-103.9476	-4.60517	0.09197587
2640	-108.8856	-104.2804	-4.60517	0.1056744
2650	-109.0789	-104.4737	-4.60517	0.07089936
2660	-108.7738	-104.1687	-4.60517	0.1025918
2670	-108.6666	-104.0614	-4.60517	0.09888806
2680	-108.565	-103.9598	-4.60517	0.09327063
2690	-111.2688	-106.6637	-4.60517	0.05170823
2700	-109.216	-104.6109	-4.60517	0.06888237
2710	-108.7277	-104.1225	-4.60517	0.1011243
2720	-108.634	-104.0288	-4.60517	0.0812481
2730	-108.5471	-103.942	-4.60517	0.08716404
2740	-109.121	-104.5159	-4.60517	0.07025054
2750	-109.1971	-104.5919	-4.60517	0.06914618
2760	-108.7302	-104.125	-4.60517	0.07800783
2770	-109.468	-104.8628	-4.60517	0.06573155
2780	-109.0029	-104.3977	-4.60517	0.07214784
2790	-109.8077	-105.2025	-4.60517	0.1224676
2800	-108.5533	-103.9481	-4.60517	0.08627583
2810	-108.5549	-103.9498	-4.60517	0.08608322
2820	-108.542	-103.9368	-4.60517	0.08960393
2830	-109.5623	-104.9572	-4.60517	0.06468681
2840	-108.583	-103.9778	-4.60517	0.08380324
2850	-108.5591	-103.9539	-4.60517	0.08564354
2860	-109.1789	-104.5737	-4.60517	0.1120915
2870	-108.5632	-103.958	-4.60517	0.09310552
2880	-108.7146	-104.1095	-4.60517	0.07845742
2890	-108.5473	-103.9421	-4.60517	0.09115068
2900	-108.698	-104.0929	-4.60517	0.07896224
2910	-108.5562	-103.951	-4.60517	0.08594466
