Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
169	1	-38.31492	-38.20273	-0.1121858	0.001926108	0.03678795	0.1113166	359.8694	3.466897
170	0	-43.35205	-39.81047	-3.54158	0.1296713	0.8043249	0.5652304	5.345416	3.601078
171	1	-39.43594	-38.23823	-1.197708	0.007303898	0.130315	0.3054952	94.901	2.885992
172	0	-38.95705	-37.90017	-1.056874	0.0394466	0.4908089	0.1685191	17.57178	2.304484
173	1	-38.44888	-36.82869	-1.620189	0.0504535	0.5640882	0.2533774	13.73834	2.607792
174	0	-42.64587	-40.8058	-1.84007	0.08153322	0.6996963	0.2035122	8.501408	2.416118
175	1	-41.61247	-39.19077	-2.421697	0.04830163	0.5511112	0.5821832	14.35039	2.511322
176	0	-38.42276	-36.96838	-1.454382	0.02936056	0.4057543	0.2891754	23.60811	2.710118
177	1	-38.06764	-36.90517	-1.162466	0.03113183	0.4221586	0.2106285	22.2649	2.267723
178	0	-40.12	-40.26056	0.1405582	0.00829228	0.1461468	0.07902037	83.58945	2.507834
179	1	-38.58477	-37.39757	-1.187201	0.0171474	0.2717224	0.2630586	40.42288	3.218386
180	0	-38.83802	-37.17095	-1.667065	0.0353484	0.4586018	0.3286956	19.60901	2.655763
181	1	-39.85768	-37.9946	-1.863078	0.06920475	0.6555959	0.2478657	10.01589	3.115014
182	0	-37.66097	-36.65531	-1.005664	0.02872213	0.3996729	0.1862955	24.13286	2.736268
183	1	-38.12407	-36.71173	-1.41234	0.0416473	0.5069152	0.2330909	16.64327	2.589502
184	0	-38.35479	-37.35427	-1.000514	0.007415013	0.1321148	0.2504277	93.47889	2.50774
185	1	-40.08866	-37.54832	-2.540338	0.07061667	0.6611883	0.4782828	9.815631	2.977828
186	0	-37.44729	-36.71939	-0.7278967	0.005923446	0.107525	0.1947318	117.0176	2.798216
187	1	-37.59865	-36.92267	-0.6759749	0.002281784	0.04338209	0.1946384	303.7742	2.996848
188	0	-37.64247	-37.20799	-0.4344724	0.004360607	0.0807327	0.1484541	158.9566	3.366945
189	1	-37.21432	-36.60244	-0.6118851	0.004043173	0.07515812	0.1780692	171.4364	2.564704
190	0	-38.13687	-36.83384	-1.303037	0.02625921	0.3753361	0.2596925	26.39634	2.880883
191	1	-37.65597	-36.69678	-0.9591964	0.02673754	0.3801741	0.182893	25.92412	2.498816
192	0	-38.12345	-36.99691	-1.126546	0.0248288	0.3605357	0.2221192	27.91706	2.140018
193	1	-37.91455	-37.02618	-0.8883765	0.007806553	0.1384162	0.2226279	88.79043	2.348155
194	0	-38.34774	-37.40324	-0.9445033	0.009642879	0.1671482	0.2294508	71.88177	3.330214
195	1	-38.87369	-37.24477	-1.628916	0.04364402	0.5208615	0.2814059	15.88184	2.183653
196	0	-43.36819	-40.68519	-2.683005	0.04877983	0.5540471	0.7509493	14.20971	2.72469
197	1	-38.81293	-36.89428	-1.918656	0.0521703	0.5740215	0.3333175	13.28624	2.748843
198	0	-38.3643	-37.64428	-0.7200231	0.02497089	0.3620286	0.1476262	27.7582	2.20432
199	1	-37.45008	-37.03539	-0.4146961	0.004746631	0.08745077	0.1447555	146.0293	2.032312
200	0	-37.80703	-36.90383	-0.9031995	0.008937087	0.156263	0.2223727	77.55851	2.704447
201	1	-38.47229	-36.96354	-1.508749	0.03172485	0.4275012	0.2953032	21.84871	2.737306
202	0	-39.10544	-38.02359	-1.081851	0.03893536	0.4869522	0.1740336	17.80251	3.25306
203	1	-41.48411	-38.00785	-3.476255	0.1288372	0.8030991	0.5357627	5.380023	2.740383
204	0	-38.97475	-37.25299	-1.721764	0.05176762	0.5717241	0.2753083	13.38959	3.216363
205	1	-39.44563	-37.10143	-2.344202	0.07041191	0.6603868	0.3942394	9.844175	2.878042
206	0	-37.05698	-36.54605	-0.5109334	0.004706987	0.0867639	0.159468	147.2592	2.807746
207	1	-40.16996	-37.86966	-2.300306	0.05577277	0.5937289	0.4639871	12.42806	2.444446
