Iteration	Replicate_ID	Posterior	Likelihood	Prior	sigma2
186	0	-45.69462	0	-45.69462	0.007388496
187	1	371.5058	0	371.5058	0.0001106711
188	0	-45.4829	0	-45.4829	0.00653823
189	1	371.4825	0	371.4825	0.0001125364
190	0	-45.79287	0	-45.79287	0.007477215
191	1	371.3303	0	371.3303	0.0001168372
192	0	-45.90593	0	-45.90593	0.007568283
193	1	371.4629	0	371.4629	0.0001068495
194	0	-45.53043	0	-45.53043	0.007203776
195	1	370.2793	0	370.2793	0.0001291624
196	0	-46.18418	0	-46.18418	0.007761591
197	1	371.3904	0	371.3904	0.0001049221
198	0	-46.34909	0	-46.34909	0.007862753
199	1	370.3986	0	370.3986	0.0001281103
200	0	-46.51062	0	-46.51062	0.00795522
201	1	370.8221	0	370.8221	9.816858e-05
202	0	-45.38911	0	-45.38911	0.006785462
203	1	371.3149	0	371.3149	0.0001171369
204	0	-49.95052	0	-49.95052	0.005127459
205	1	371.0016	0	371.0016	0.0001218444
206	0	-46.23773	0	-46.23773	0.007795302
207	1	371.1642	0	371.1642	0.0001014579
208	0	-45.62431	0	-45.62431	0.007316895
209	1	370.9505	0	370.9505	9.926144e-05
210	0	-45.39585	0	-45.39585	0.006916944
211	1	368.5494	0	368.5494	8.721038e-05
212	0	-47.29154	0	-47.29154	0.008344142
213	1	371.4912	0	371.4912	0.0001081055
214	0	-45.38951	0	-45.38951	0.006873059
215	1	371.4983	0	371.4983	0.0001085878
216	0	-47.06362	0	-47.06362	0.008238183
217	1	370.8003	0	370.8003	0.0001241728
218	0	-45.46779	0	-45.46779	0.006561388
219	1	370.7283	0	370.7283	9.744362e-05
220	0	-45.40942	0	-45.40942	0.006972071
221	1	371.0901	0	371.0901	0.0001206947
222	0	-45.40942	0	-45.40942	0.006972071
223	1	371.0213	0	371.0213	9.992551e-05
224	0	-45.4038	0	-45.4038	0.006952113
225	1	369.7898	0	369.7898	9.202307e-05
226	0	-45.40294	0	-45.40294	0.006707951
227	1	371.3149	0	371.3149	0.0001171374
228	0	-45.65867	0	-45.65867	0.006349954
229	1	369.7259	0	369.7259	9.172907e-05
230	0	-45.66641	0	-45.66641	0.007360757
231	1	371.036	0	371.036	0.0001000707
232	0	-45.74438	0	-45.74438	0.006283598
233	1	371.3656	0	371.3656	0.0001160976
