Iteration	Replicate_ID	Posterior	Likelihood	Prior	alpha	p_th	sigma2	t_half	theta
177	1	224.5545	0	224.5545	0.2074291	0.8769464	0.00295716	3.34161	3.043437
178	0	-277.3632	0	-277.3632	0.07558446	0.6796983	0.145541	9.170499	-6.461529
179	1	225.3054	0	225.3054	0.1503723	0.8306751	0.00242658	4.609539	3.043437
180	0	-279.6002	0	-279.6002	0.05847385	0.6075624	0.1357434	11.85397	-6.257242
181	1	224.1401	0	224.1401	0.1539609	0.8345616	0.002694974	4.502098	3.043437
182	0	-277.6337	0	-277.6337	0.07739257	0.6860131	0.1489254	8.956249	-6.501139
183	1	224.9424	0	224.9424	0.1605759	0.8412896	0.002627799	4.316634	3.043437
184	0	-281.4886	0	-281.4886	0.09434432	0.7360933	0.2294529	7.346995	-6.393931
185	1	223.7384	0	223.7384	0.175944	0.8550305	0.00220321	3.939591	3.039024
186	0	-278.2924	0	-278.2924	0.07746253	0.6862531	0.1630266	8.948161	-6.532583
187	1	225.3944	0	225.3944	0.1539374	0.8345367	0.002252681	4.502787	3.039024
188	0	-278.646	0	-278.646	0.0747225	0.6766112	0.1272013	9.276285	-6.372632
189	1	224.7676	0	224.7676	0.161157	0.8418553	0.002262541	4.301067	3.051918
190	0	-277.9481	0	-277.9481	0.0902734	0.7254071	0.1576518	7.67831	-6.380092
191	1	225.4756	0	225.4756	0.1435438	0.8227712	0.002303694	4.828819	3.044852
192	0	-279.9809	0	-279.9809	0.09487171	0.7374237	0.216357	7.306152	-6.426268
193	1	223.9652	0	223.9652	0.1899223	0.8656427	0.002651493	3.649636	3.035503
194	0	-281.5808	0	-281.5808	0.06558638	0.6405372	0.134365	10.56846	-6.696548
195	1	224.1129	0	224.1129	0.1877323	0.8640825	0.002731269	3.69221	3.035503
196	0	-278.6034	0	-278.6034	0.09778106	0.7445519	0.1806267	7.088767	-6.327345
197	1	224.8564	0	224.8564	0.1450235	0.8245436	0.002254019	4.779551	3.035503
