Iteration	Replicate_ID	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
55	1	-74.39555	-92.09219	17.69664	1	0	0	1	0.008471374	0.008471374	0.002343438	0.00159742	0.03418825	0.004515615	0.01927035	0.01927035	0.454152	0.15639	0.174749	0.214709
56	0	-66.26891	-87.89888	21.62998	0	0	1	0	0.006387755	0.0008036798	0.002464748	0.002923861	0.0485284	0.0485284	0.005796926	0.01051927	0.0208477	0.175931	0.0679448	0.735276
57	1	-69.12083	-86.72303	17.6022	0	0	1	0	0.006706389	0.001742941	0.002343438	0.001714017	0.04722931	0.04722931	0.02029941	0.0204283	0.454152	0.15639	0.174749	0.214709
58	0	-68.20282	-87.766	19.56318	0	0	1	0	0.004465162	0.001156914	0.001825241	0.000922014	0.049953	0.049953	0.005796926	0.02512763	0.029314	0.197191	0.104222	0.669274
59	1	-68.78967	-87.71049	18.92082	0	1	0	1	0.006706389	0.0005720612	0.002475798	0.002475798	0.03763171	0.001124777	0.01487331	0.01487331	0.260462	0.160948	0.357623	0.220967
60	0	-67.03	-89.80653	22.77653	0	0	0	1	0.008891468	0.002617004	0.0022722	0.0005736523	0.04709207	0.003622995	0.005796926	0.005796926	0.14349	0.137814	0.250951	0.467746
61	1	-68.97809	-89.23845	20.26036	0	1	1	0	0.009384244	0.000548024	0.002475798	0.002475798	0.03472194	0.03472194	0.007578298	0.00101351	0.288355	0.178184	0.395921	0.13754
62	0	-67.67519	-87.23021	19.55502	0	0	1	0	0.006509773	0.001725241	0.0022722	0.0007254689	0.07067649	0.07067649	0.005796926	0.001587466	0.229636	0.175253	0.3383	0.256811
63	1	-67.43741	-90.996	23.55859	0	1	0	0	0.008102779	0.0006121025	0.003578862	0.003578862	0.02931636	0.003275105	0.007578298	0.01392934	0.323837	0.200109	0.444639	0.0314148
64	0	-70.965	-88.92091	17.95591	0	0	0	1	0.006509773	0.005281669	0.0022722	0.004264989	0.07067649	0.002182707	0.007252722	0.007252722	0.191681	0.146287	0.447667	0.214365
65	1	-64.4046	-88.85853	24.45393	0	1	0	0	0.006734068	0.0009008114	0.001033563	0.001033563	0.0350162	0.006756444	0.007651755	0.003178605	0.300616	0.18576	0.484462	0.0291622
66	0	-78.11181	-87.32063	9.208814	1	0	1	1	0.008218373	0.008218373	0.0022722	0.0009804725	0.07067649	0.07067649	0.007252722	0.007252722	0.191681	0.146287	0.447667	0.214365
67	1	-74.11242	-89.31751	15.20509	0	1	1	1	0.006289154	0.001267349	0.001158204	0.001158204	0.0387347	0.0387347	0.007651755	0.007651755	0.51293	0.316955	0.143099	0.0270155
68	0	-83.65689	-91.00001	7.343126	1	1	1	1	0.01206454	0.01206454	0.00270549	0.00270549	0.04851224	0.04851224	0.007252722	0.007252722	0.24867	0.0375119	0.114794	0.599025
69	1	-74.18901	-87.57558	13.38657	0	1	1	1	0.006289154	0.00383091	0.001652271	0.001652271	0.04345735	0.04345735	0.01027353	0.01027353	0.315265	0.194812	0.473318	0.0166047
70	0	-80.20376	-89.14802	8.944259	1	1	1	0	0.01206454	0.01206454	0.00270549	0.00270549	0.05583458	0.05583458	0.0160112	0.00429773	0.372261	0.317601	0.171847	0.138291
