Iteration	Posterior	Likelihood	Prior	prob_gain_A_indep	prob_gain_B_indep	prob_loss_A_indep	prob_loss_B_indep	rate_gain_A_when_B0	rate_gain_A_when_B1	rate_gain_B_when_A0	rate_gain_B_when_A1	rate_loss_A_when_B0	rate_loss_A_when_B1	rate_loss_B_when_A0	rate_loss_B_when_A1	rf[1]	rf[2]	rf[3]	rf[4]
71	-75.37599	-85.59857	10.22258	0	1	1	1	0.006631386	0.001361314	0.001673949	0.001673949	0.0633159	0.0633159	0.0106189	0.0106189	0.384729	0.269767	0.0439463	0.301558
72	-71.18871	-88.45487	17.26616	0	0	1	1	0.008619216	0.005965129	0.001463107	0.002450478	0.04437048	0.04437048	0.009980423	0.009980423	0.449961	0.145953	0.0513976	0.352688
73	-69.48675	-87.03073	17.54398	0	1	1	0	0.005226323	0.0005577272	0.001750225	0.001750225	0.04749135	0.04749135	0.009980423	0.006253657	0.404003	0.158148	0.0556921	0.382157
74	-64.60902	-87.19409	22.58507	0	0	1	0	0.004970306	0.0004848348	0.001750225	0.0002006141	0.04749135	0.04749135	0.01038898	0.006675117	0.558761	0.0846883	0.021325	0.335226
75	-66.35036	-87.02226	20.6719	0	0	1	0	0.009915075	0.0003343769	0.001750225	0.008230479	0.04478976	0.04478976	0.01160883	0.006276149	0.291096	0.0799493	0.0201317	0.608823
76	-75.57847	-87.7679	12.18943	0	1	0	1	0.009915075	0.0004442253	0.002176729	0.002176729	0.05560992	0.01123402	0.02250812	0.02250812	0.291096	0.0799493	0.0201317	0.608823
77	-73.09903	-88.09679	14.99776	0	0	1	1	0.007183617	0.0002803838	0.001953704	0.01222507	0.04167332	0.04167332	0.02250812	0.02250812	0.471368	0.129461	0.032599	0.366572
78	-72.98782	-92.96854	19.98073	0	1	0	1	0.01111023	0.0002803838	0.002796558	0.002796558	0.02557198	0.003388837	0.01417334	0.01417334	0.644997	0.0869395	0.0218919	0.246171
79	-69.26208	-89.64898	20.38689	0	0	1	1	0.008254657	0.0004560584	0.001943275	0.0009633999	0.02920729	0.02920729	0.01417334	0.01417334	0.645038	0.086945	0.059415	0.208602
80	-70.59664	-91.43533	20.83869	0	1	0	1	0.008254657	0.0003965675	0.001784678	0.001784678	0.02992458	0.003817457	0.008235751	0.008235751	0.645038	0.086945	0.059415	0.208602
81	-74.00306	-90.17779	16.17473	0	1	1	1	0.008254657	0.0003965675	0.002743178	0.002743178	0.02992458	0.02992458	0.008235751	0.008235751	0.499093	0.0839512	0.255552	0.161404
82	-66.44502	-92.46508	26.02006	0	0	1	0	0.00486617	0.000495283	0.002743178	0.001957644	0.03093523	0.03093523	0.004817469	0.006498097	0.539641	0.0907718	0.19507	0.174518
83	-65.25908	-88.48717	23.22809	0	0	1	0	0.007249213	0.0008092144	0.002743178	0.0009107901	0.04373953	0.04373953	0.006520758	0.006310668	0.389443	0.123829	0.248653	0.238074
84	-70.30336	-90.70275	20.39939	0	1	1	0	0.007249213	0.001994926	0.002458188	0.002458188	0.03213998	0.03213998	0.006872802	0.004211417	0.306921	0.116223	0.195964	0.380891
85	-68.34748	-87.5962	19.24872	0	1	1	0	0.004885376	0.001237837	0.002154679	0.002154679	0.03886002	0.03886002	0.01054913	0.003821413	0.0971727	0.100792	0.76742	0.034615
86	-70.48662	-88.18428	17.69766	0	0	1	1	0.01022512	0.001258005	0.002131655	0.002898243	0.03886002	0.03886002	0.01500759	0.01500759	0.36387	0.377424	0.0813846	0.177322
87	-69.16621	-90.4213	21.2551	0	1	0	0	0.01458275	0.001474466	0.003332431	0.003332431	0.04372599	0.0006210373	0.01500759	0.0008247287	0.389961	0.404487	0.0872203	0.118331
88	-74.66065	-87.34288	12.68223	0	0	1	1	0.01602809	0.001401848	0.003332431	0.001710653	0.0615886	0.0615886	0.01500759	0.01500759	0.565256	0.136793	0.126427	0.171523
89	-78.1897	-88.92284	10.73314	0	1	1	1	0.01602809	0.001157887	0.003332431	0.003332431	0.04782127	0.04782127	0.01234135	0.01234135	0.488548	0.11823	0.109271	0.283951
90	-67.39557	-88.20748	20.81191	0	1	0	0	0.009979867	0.0004816463	0.003332431	0.003332431	0.04563292	0.007168171	0.01234135	0.003167637	0.162302	0.122894	0.151202	0.563602
91	-69.54866	-88.81073	19.26206	0	1	1	0	0.009979867	0.0003489643	0.001647054	0.001647054	0.03170789	0.03170789	0.01035179	0.007396579	0.162302	0.122894	0.151202	0.563602
92	-72.52449	-87.49685	14.97236	0	1	1	1	0.00787352	7.10989e-05	0.001502443	0.001502443	0.03170789	0.03170789	0.01527743	0.01527743	0.150052	0.0355326	0.293353	0.521063
93	-67.30177	-89.13871	21.83694	0	0	1	1	0.004406693	7.387883e-05	0.001502443	0.000359334	0.03041525	0.03041525	0.00994608	0.00994608	0.132353	0.0362725	0.299461	0.531913
94	-67.84113	-86.19771	18.35658	0	1	1	0	0.005756666	7.387883e-05	0.001502443	0.001502443	0.04763829	0.04763829	0.00994608	0.001694215	0.118079	0.0951885	0.281042	0.50569
95	-63.82054	-86.57305	22.75251	0	1	0	0	0.007094678	6.142218e-05	0.001502443	0.001502443	0.04279103	0.002842136	0.01587452	0.0008374648	0.118079	0.0951885	0.281042	0.50569
96	-63.41387	-88.10747	24.69359	0	0	0	1	0.007094678	5.973797e-05	0.001071479	0.002117982	0.03149416	0.0001655823	0.01789693	0.01789693	0.15216	0.122662	0.377035	0.348144
97	-59.11459	-89.99958	30.88499	0	0	0	0	0.006215522	0.0001344035	0.002203069	0.001435084	0.0231982	0.0001518044	0.01583873	0.004845664	0.145744	0.11749	0.523684	0.213081
98	-64.5346	-88.91383	24.37923	0	1	0	0	0.01113124	0.0001981706	0.002171143	0.002171143	0.03021054	0.004897292	0.01224765	0.0008427012	0.145744	0.11749	0.523684	0.213081
99	-72.03328	-88.59822	16.56494	0	1	1	1	0.0051417	0.0001814663	0.00134188	0.00134188	0.03214198	0.03214198	0.008515699	0.008515699	0.0963566	0.077677	0.62487	0.201097
100	-64.77275	-89.88208	25.10933	0	0	1	0	0.008472018	0.0001745456	0.004423639	0.0008841993	0.02868162	0.02868162	0.0123928	0.002493671	0.487434	0.0440601	0.354439	0.114066
101	-76.14315	-89.44187	13.29871	1	1	1	0	0.008472018	0.008472018	0.001847673	0.001847673	0.03739816	0.03739816	0.01455658	0.003731324	0.487434	0.0440601	0.354439	0.114066
102	-68.90682	-88.27416	19.36734	0	0	1	1	0.008472018	0.002015387	0.002533373	0.0007772134	0.03247535	0.03247535	0.01455658	0.01455658	0.393002	0.0355242	0.479505	0.0919681
103	-59.8063	-87.32467	27.51837	0	0	0	0	0.01014538	0.00219571	0.002533373	0.0007772134	0.04506609	0.0001801513	0.01196472	0.0004171422	0.394621	0.0356705	0.477362	0.0923468
104	-64.44649	-86.6181	22.17162	0	0	1	0	0.01014538	0.001990089	0.002528279	0.0007381773	0.04506609	0.04506609	0.01296501	0.0008934043	0.423047	0.03824	0.511748	0.026965
105	-69.41727	-86.16637	16.7491	0	0	1	1	0.008637844	0.001229101	0.003033886	0.0004805001	0.04321584	0.04321584	0.01920928	0.01920928	0.0874864	0.0604807	0.809385	0.0426481
106	-82.01357	-88.02557	6.011997	1	1	1	1	0.008637844	0.008637844	0.002578563	0.002578563	0.04772344	0.04772344	0.01920928	0.01920928	0.224071	0.210893	0.536753	0.0282826
107	-68.6847	-86.59483	17.91014	0	0	1	0	0.01004848	0.004149588	0.00183561	0.001007305	0.04772344	0.04772344	0.01768608	0.0162519	0.307413	0.188241	0.479101	0.0252448
108	-72.21501	-90.50244	18.28743	0	1	1	0	0.01004848	0.001088173	0.001793111	0.001793111	0.0227192	0.0227192	0.01531421	0.01604392	0.307413	0.188241	0.479101	0.0252448
109	-68.60725	-87.35189	18.74465	0	0	1	1	0.01088273	0.001300965	0.001793111	0.000109265	0.03841919	0.03841919	0.01188651	0.01188651	0.307413	0.188241	0.479101	0.0252448
110	-76.53372	-86.93848	10.40476	0	1	1	1	0.01047439	0.00655956	0.001793111	0.001793111	0.05140577	0.05140577	0.01232651	0.01232651	0.165997	0.226677	0.576927	0.0303994
111	-66.7441	-89.66895	22.92485	0	1	0	0	0.009963623	0.005398559	0.001770155	0.001770155	0.03765249	0.001890139	0.01232651	0.001016422	0.322153	0.218232	0.430348	0.0292669
112	-78.45661	-90.13139	11.67478	0	1	1	1	0.01097724	0.004595653	0.004052906	0.004052906	0.03765249	0.03765249	0.01801648	0.01801648	0.41857	0.283547	0.259857	0.0380262
113	-71.83924	-90.11017	18.27092	0	0	1	0	0.01486584	0.006802492	0.004024515	0.003871571	0.04768719	0.04768719	0.01801648	0.001370586	0.413882	0.163901	0.255212	0.167004
114	-72.43649	-89.67253	17.23604	0	0	1	0	0.01486584	0.006802492	0.004108607	0.004658856	0.05211208	0.05211208	0.01913592	0.0008744589	0.404514	0.160191	0.249435	0.18586
115	-82.84265	-94.5064	11.66375	0	1	1	1	0.01486584	0.009603598	0.00495027	0.00495027	0.03181782	0.03181782	0.01412033	0.01412033	0.0568398	0.34941	0.312695	0.281054
116	-66.70201	-87.03541	20.3334	0	0	1	0	0.01051883	0.002046493	0.003167969	0.002507505	0.0458707	0.0458707	0.01779874	0.002930924	0.0924421	0.243815	0.206647	0.457096
117	-71.7871	-91.12104	19.33394	0	0	1	1	0.009016146	0.003107254	0.002793111	0.006502179	0.0258948	0.0258948	0.01370749	0.01370749	0.0723705	0.193699	0.370792	0.363139
118	-73.23004	-87.77172	14.54168	1	0	1	0	0.006171913	0.006171913	0.001963979	0.00857431	0.04852214	0.04852214	0.01370749	0.009493224	0.098355	0.263246	0.144875	0.493524
119	-65.19416	-87.83818	22.64401	0	0	1	0	0.007419884	0.003952976	0.001963979	0.003542347	0.03883705	0.03883705	0.01370749	0.00220057	0.12304	0.211364	0.4026	0.262995
120	-74.21308	-87.58129	13.36821	0	1	1	1	0.006567095	0.004288217	0.001631518	0.001631518	0.03883705	0.03883705	0.01428436	0.01428436	0.12304	0.211364	0.4026	0.262995
121	-80.36967	-91.32742	10.95775	1	1	1	1	0.006187686	0.006187686	0.002202504	0.002202504	0.03427744	0.03427744	0.00719145	0.00719145	0.221244	0.264092	0.186059	0.328604
122	-66.43547	-91.65243	25.21695	0	0	0	0	0.005673107	0.001216748	0.002942024	0.01512211	0.03269389	0.01239221	0.01173822	0.004665724	0.221244	0.264092	0.186059	0.328604
123	-67.00033	-90.14257	23.14224	0	0	0	1	0.005482545	0.001170295	0.002900744	0.009167385	0.03269389	0.007033517	0.01032602	0.01032602	0.108753	0.129816	0.599904	0.161527
124	-73.06474	-91.83486	18.77012	1	1	0	0	0.005482545	0.005482545	0.003048555	0.003048555	0.03655669	0.007033517	0.00768385	0.004440944	0.176085	0.210188	0.352194	0.261533
125	-74.03966	-96.09927	22.05961	0	1	1	0	0.005482545	0.005267861	0.002625751	0.002625751	0.02406551	0.02406551	0.004435234	0.003553095	0.0985152	0.498803	0.231083	0.171598
126	-82.84285	-96.10343	13.26057	1	1	1	1	0.005482545	0.005482545	0.002625751	0.002625751	0.02406551	0.02406551	0.004512961	0.004512961	0.155253	0.467409	0.21654	0.160798
127	-72.54232	-95.32921	22.78689	0	0	1	1	0.005077118	0.003784163	0.002580316	0.001249811	0.02406551	0.02406551	0.004512961	0.004512961	0.13877	0.417785	0.299719	0.143726
128	-76.93055	-97.62495	20.6944	1	0	0	1	0.006530823	0.006530823	0.004233038	0.003484712	0.02048496	0.01399255	0.004512961	0.004512961	0.087821	0.264396	0.556825	0.0909577
129	-70.15941	-89.5708	19.41139	0	0	1	0	0.008565412	0.003106019	0.005037021	0.007123964	0.05566093	0.05566093	0.005893584	0.004728189	0.087821	0.264396	0.556825	0.0909577
130	-70.60121	-89.1772	18.57599	0	1	1	0	0.01072214	0.002939219	0.002033544	0.002033544	0.03939892	0.03939892	0.007057802	0.003204858	0.087821	0.264396	0.556825	0.0909577
131	-71.40325	-87.82172	16.41847	0	1	1	0	0.007300832	0.002725021	0.001728686	0.001728686	0.05315986	0.05315986	0.006017617	0.006765669	0.0846833	0.32758	0.475043	0.112694
132	-72.43623	-91.22941	18.79318	1	1	0	0	0.002686393	0.002686393	0.001728686	0.001728686	0.03684351	0.005545196	0.009526506	0.007783907	0.0202863	0.349223	0.506429	0.124061
133	-67.23534	-90.96929	23.73395	1	0	0	0	0.003110552	0.003110552	0.002106414	0.00217309	0.03605869	0.002343329	0.01054223	0.009055481	0.052897	0.337599	0.489572	0.119932
134	-65.10181	-87.20163	22.09982	0	0	1	0	0.003932449	0.0004300026	0.002709181	0.002901932	0.05297416	0.05297416	0.01054223	0.001247165	0.052897	0.337599	0.489572	0.119932
135	-70.60296	-88.18943	17.58647	0	0	1	1	0.002958866	0.0004300026	0.002095747	0.006315549	0.0465999	0.0465999	0.01261659	0.01261659	0.0537927	0.343316	0.497862	0.10503
136	-71.29474	-94.62658	23.33184	0	1	0	1	0.003727498	0.0006431435	0.002095747	0.002095747	0.01561922	0.0034505	0.01261659	0.01261659	0.0663716	0.423597	0.45494	0.0550917
137	-65.94115	-94.0807	28.13955	0	1	0	0	0.003860062	0.0009245958	0.001666807	0.001666807	0.01625868	0.002179958	0.01382933	0.001470004	0.0663716	0.423597	0.45494	0.0550917
138	-79.65841	-88.0792	8.42079	1	1	1	1	0.003680074	0.003680074	0.001678538	0.001678538	0.04349557	0.04349557	0.01551649	0.01551649	0.0624565	0.39861	0.428104	0.110829
