state	power	likelihood
2330	1	-139.58
2340	1	-136.185
2350	1	-137.222
2360	1	-137.103
2370	1	-139.25
2380	1	-136.026
2390	1	-136.929
2400	1	-136.493
2410	1	-133.351
2420	1	-132.514
2430	1	-133.725
2440	1	-135.048
2450	1	-132.368
2460	1	-133.856
2470	1	-133.772
2480	1	-132.701
2490	1	-135.144
2500	1	-132.408
2510	1	-133.544
2520	1	-133.376
2530	1	-134.995
2540	1	-132.707
2550	1	-131.373
2560	1	-136.405
2570	1	-136.664
2580	1	-136.026
2590	1	-135.625
2600	1	-136.346
2610	1	-135.351
2620	1	-136.019
2630	1	-135.371
2640	1	-138.476
2650	1	-141.77
2660	1	-136.176
2670	1	-135.013
2680	1	-137.086
2690	1	-137.263
2700	1	-136.633
2710	1	-134.873
2720	1	-135.084
2730	1	-136.13
2740	1	-138.636
2750	1	-137.005
2760	1	-136.323
2770	1	-135.914
2780	1	-136.722
2790	1	-135.013
2800	1	-136.978
2810	1	-140.973
2820	1	-135.754
2830	1	-137.263
2840	1	-137.696
2850	1	-136.979
2860	1	-137.705
2870	1	-139.969
2880	1	-139.516
2890	1	-139.067
2900	1	-136.423
2910	1	-135.838
2920	1	-138.482
2930	1	-137.071
2940	1	-135.468
2950	1	-134.656
2960	1	-135.63
2970	1	-138.195
2980	1	-137.152
2990	1	-136.196
3000	1	-137.269
3010	1	-135.27
3020	1	-137.736
3030	1	-136.479
3040	1	-138.473
3050	1	-136.963
3060	1	-134.312
3070	1	-133.773
3080	1	-134.274
3090	1	-135.673
3100	1	-137.145
3110	1	-136.171
3120	1	-136.513
3130	1	-134.215
3140	1	-135.045
3150	1	-136.345
3160	1	-136.968
3170	1	-135.671
3180	1	-136.135
3190	1	-135.502
3200	1	-135.626
3210	1	-135.651
3220	1	-134.764
3230	1	-139.46
3240	1	-139.02
3250	1	-135.107
3260	1	-135.341
3270	1	-139.46
3280	1	-137.544
3290	1	-135.042
3300	1	-137.179
3310	1	-138.123
3320	1	-135.527
3330	1	-135.57
3340	1	-139.281
3350	1	-136.26
3360	1	-137.524
3370	1	-135.675
3380	1	-136.415
3390	1	-139.463
3400	1	-135.41
3410	1	-134.604
3420	1	-135.942
3430	1	-136.107
3440	1	-133.329
3450	1	-135.332
3460	1	-135.211
3470	1	-132.521
3480	1	-133.471
3490	1	-136.671
3500	1	-137.405
3510	1	-134.816
3520	1	-135.655
3530	1	-135.099
3540	1	-141.676
3550	1	-134.862
3560	1	-139.253
3570	1	-134.218
3580	1	-135.33
3590	1	-136.307
3600	1	-136.525
3610	1	-137.151
3620	1	-136.816
3630	1	-135.824
3640	1	-135.902
3650	1	-138.291
3660	1	-137.803
3670	1	-135.202
3680	1	-135.366
3690	1	-135.575
3700	1	-137.1
3710	1	-135.735
3720	1	-136.843
3730	1	-138.621
3740	1	-137.155
3750	1	-136.106
3760	1	-135.435
3770	1	-135.33
3780	1	-135.988
3790	1	-139.661
3800	1	-137.245
3810	1	-136.31
3820	1	-136.753
3830	1	-140.05
3840	1	-136.727
3850	1	-136.941
3860	1	-136.588
3870	1	-134.839
3880	1	-136.856
3890	1	-134.458
3900	1	-139.444
3910	1	-137.411
3920	1	-136.458
3930	1	-135.545
3940	1	-136.628
3950	1	-134.738
3960	1	-135.992
3970	1	-139.615
3980	1	-136.1
3990	1	-137.469
4000	1	-137.619
4010	1	-137.054
4020	1	-135.048
4030	1	-139.251
4040	1	-136.51
4050	1	-133.185
4060	1	-132.665
4070	1	-136.403
4080	1	-132.635
4090	1	-133.723
4100	1	-134.167
4110	1	-137.646
4120	1	-133.855
4130	1	-136.818
4140	1	-136.797
4150	1	-138.769
4160	1	-136.325
4170	1	-137.312
4180	1	-135.381
4190	1	-134.169
4200	1	-138.589
4210	1	-135.934
4220	1	-136.445
4230	1	-136.795
4240	1	-137.194
4250	1	-137.875
4260	1	-141.831
4270	1	-136.339
4280	1	-136.245
4290	1	-135.276
4300	1	-136.004
4310	1	-136.476
4320	1	-134.819
4330	1	-136.968
4340	1	-136.853
4350	1	-136.373
4360	1	-136.977
4370	1	-135.289
4380	1	-136.637
4390	1	-136.615
4400	1	-136.645
4410	1	-135.478
4420	1	-134.711
4430	1	-135.733
4440	1	-137.516
4450	1	-136.96
4460	1	-134.175
4470	1	-135.152
4480	1	-135.482
4490	1	-135.794
4500	1	-134.535
4510	1	-135.839
4520	1	-139.566
4530	1	-134.266
4540	1	-134.605
4550	1	-135.398
4560	1	-136.665
4570	1	-136.633
4580	1	-139.928
4590	1	-135.661
4600	1	-133.992
4610	1	-135.022
4620	1	-135.975
4630	1	-136.763
4640	1	-135.105
4650	1	-135.858
4660	1	-135.207
4670	1	-134.777
4680	1	-133.269
4690	1	-132.703
4700	1	-135.726
4710	1	-137.865
4720	1	-135.692
4730	1	-135.454
4740	1	-142.222
4750	1	-137.327
4760	1	-137.494
4770	1	-135.208
4780	1	-136.785
4790	1	-136.213
4800	1	-135.158
4810	1	-134.935
4820	1	-134.845
4830	1	-133.915
4840	1	-135.358
4850	1	-136.289
4860	1	-144.269
4870	1	-135.846
