Iteration	Replicate_ID	Posterior	Likelihood	Prior	birth_rate
199	1	-108.5463	-103.9411	-4.60517	0.08731667
200	0	-108.5469	-103.9417	-4.60517	0.08720326
201	1	-111.0596	-106.4544	-4.60517	0.1381144
202	0	-108.5635	-103.9583	-4.60517	0.09313308
203	1	-108.5523	-103.9472	-4.60517	0.08639284
204	0	-108.9988	-104.3936	-4.60517	0.0722185
205	1	-108.7963	-104.1912	-4.60517	0.07629229
206	0	-108.5457	-103.9405	-4.60517	0.09083601
207	1	-109.16	-104.5549	-4.60517	0.06967409
208	0	-108.731	-104.1259	-4.60517	0.07798441
209	1	-108.673	-104.0678	-4.60517	0.09914207
210	0	-108.8828	-104.2776	-4.60517	0.1056023
211	1	-109.263	-104.6578	-4.60517	0.1136733
212	0	-108.645	-104.0398	-4.60517	0.08080616
213	1	-109.8991	-105.2939	-4.60517	0.1237738
214	0	-108.5563	-103.9511	-4.60517	0.09239999
215	1	-109.0248	-104.4196	-4.60517	0.1089346
216	0	-109.0478	-104.4426	-4.60517	0.1094316
217	1	-108.6857	-104.0805	-4.60517	0.0793567
218	0	-108.6299	-104.0248	-4.60517	0.09728897
219	1	-110.0878	-105.4826	-4.60517	0.126364
220	0	-108.8446	-104.2394	-4.60517	0.1046054
221	1	-108.634	-104.0288	-4.60517	0.09748034
222	0	-108.7781	-104.173	-4.60517	0.07673746
223	1	-108.542	-103.9368	-4.60517	0.08863789
224	0	-108.5444	-103.9392	-4.60517	0.09053173
225	1	-108.8644	-104.2593	-4.60517	0.07476725
226	0	-108.7069	-104.1017	-4.60517	0.1004074
227	1	-108.6277	-104.0226	-4.60517	0.0971844
228	0	-108.8268	-104.2216	-4.60517	0.1041211
229	1	-108.6822	-104.0771	-4.60517	0.0995012
230	0	-109.119	-104.5138	-4.60517	0.07028128
231	1	-108.7556	-104.1504	-4.60517	0.07731462
232	0	-110.0652	-105.46	-4.60517	0.1260604
233	1	-108.5959	-103.9907	-4.60517	0.08304499
234	0	-108.7309	-104.1257	-4.60517	0.07798762
235	1	-108.7368	-104.1316	-4.60517	0.1014251
236	0	-108.7155	-104.1103	-4.60517	0.07843258
237	1	-109.2957	-104.6906	-4.60517	0.1142681
238	0	-108.8224	-104.2172	-4.60517	0.0756852
