Iteration	Replicate_ID	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
86	0	-158.3818	-113.7491	-44.63273	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
87	1	-131.5587	-117.7916	-13.76708	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
88	0	-110.2614	-111.8184	1.557016	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
89	1	-160.6097	-118.1468	-42.46294	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
90	0	-132.0446	-110.5928	-21.45175	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
91	1	-138.4752	-114.4729	-24.00235	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
92	0	-150.1947	-112.2001	-37.99464	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
93	1	-155.8507	-114.93	-40.92071	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
94	0	-131.4125	-114.0806	-17.33193	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
95	1	-162.3053	-117.017	-45.28823	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
96	0	-151.9751	-113.3133	-38.66176	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
97	1	-186.0735	-118.6227	-67.45086	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
98	0	-155.6518	-114.28	-41.37177	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
99	1	-166.2398	-114.7912	-51.44856	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
100	0	-180.064	-115.1835	-64.8805	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
101	1	-185.493	-116.8779	-68.6151	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
102	0	-172.7368	-113.314	-59.42282	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
103	1	-172.0824	-117.3861	-54.69625	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
104	0	-154.5576	-111.6931	-42.86448	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
105	1	-148.9805	-115.9953	-32.98529	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
106	0	-152.3894	-119.0937	-33.29571	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
107	1	-156.9546	-116.8196	-40.1349	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
108	0	-168.5129	-117.4384	-51.07451	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
109	1	-150.8441	-113.9002	-36.94389	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
110	0	-151.4924	-117.91	-33.58243	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
111	1	-166.5517	-116.7969	-49.75479	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
112	0	-135.3681	-118.0784	-17.28973	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
113	1	-174.6577	-114.4115	-60.24623	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
114	0	-144.4637	-117.9215	-26.54222	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
115	1	-164.0754	-117.5965	-46.47886	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
116	0	-129.4481	-115.3014	-14.14671	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
117	1	-161.3466	-116.6749	-44.67167	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
118	0	-138.2614	-120.6603	-17.60115	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
119	1	-149.5024	-118.2799	-31.22253	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
120	0	-126.1699	-115.8557	-10.31415	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
121	1	-163.7512	-112.3492	-51.40198	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
122	0	-155.8892	-114.3455	-41.54373	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
123	1	-185.0231	-117.0915	-67.93163	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
124	0	-141.8987	-114.917	-26.98169	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
125	1	-144.0118	-115.7133	-28.29843	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
126	0	-161.7929	-117.501	-44.29186	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
127	1	-183.779	-115.3407	-68.43835	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
128	0	-164.344	-117.386	-46.95796	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
129	1	-152.0016	-115.8333	-36.16833	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
130	0	-163.387	-111.5818	-51.80519	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
131	1	-170.6916	-114.4696	-56.22201	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
132	0	-201.321	-112.5309	-88.79013	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
133	1	-188.5614	-117.9506	-70.6108	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
134	0	-186.729	-114.7045	-72.0245	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
135	1	-173.9299	-109.8187	-64.11117	1.95829	3.91658	5.87487	7.83317	9.79146	11.7497	13.708	15.6663	17.6246
